CDC | Updated: Apr 20 2020  5:49PM,,,,,
ABBR,FIPS,Cases,CasesInLast7Days,RatePer100000,Deaths
ME,23,867,251,64.8,34
CA,6,28963,8348,73.2,1072
DE,10,2745,1266,283.8,72
AK,2,319,62,43.3,9
WI,55,4346,1125,74.8,220
VI,78,53,2,50.6,3
VA,51,8990,3913,105.5,300
ID,16,1672,265,95.3,45
DC,11,2793,1015,397.6,96
NC,37,6493,2181,62.5,172
MP,69,14,3,0,2
OK,40,2599,731,65.9,140
MS,28,4512,1870,151.1,169
CO,8,9634,2741,169.1,421
MT,30,433,56,40.8,10
TN,47,6796,1933,100.4,147
UT,49,3151,945,99.7,28
IA,19,2902,1392,91.9,75
RI,44,4706,2357,445.1,150
SC,45,4377,1170,86.1,120
OH,39,11602,5352,99.3,471
FSM,64,0,0,0,0
AS,60,0,0,0,0
PW,70,0,0,0,0
PA,42,32284,10628,252.1,1112
FL,12,25598,7153,120.2,774
MD,24,13684,5990,226.5,582
MI,26,31424,7571,455.3,2391
MA,25,38077,14159,551.7,1706
NM,35,1845,671,88,55
SD,46,1635,1009,185.3,7
OR,41,1910,463,45.6,74
MO,29,5667,1643,92.5,176
HI,15,580,128,40.8,10
WV,54,863,272,47.8,18
ND,38,585,292,77,10
IN,18,11210,3775,167.5,562
GA,13,18781,6520,178.5,691
AZ,4,4929,1536,68.7,184
WA,53,11790,1566,156.5,635
NE,31,1474,770,76.4,28
VT,50,812,101,129.7,38
WY,56,426,165,73.7,2
IL,17,30357,11177,238.3,1290
CT,9,17962,6452,502.8,1127
NV,32,3728,1028,122.9,157
MN,27,2470,956,44,143
NH,33,1392,463,102.6,41
KS,20,1849,570,63.5,92
LA,22,23928,3914,513.5,1296
TX,48,18923,6362,65.9,477
KY,21,2960,1120,66.2,148
GU,66,136,3,82,5
AL,1,4946,1684,101.2,165
AR,5,1781,547,59.1,40
NY,36,238138,57680,1218.6,17027
PR,72,1213,425,38,62
NJ,34,85301,27150,957.5,4202
RMI,68,0,0,0,0
US,0,746625,0,0,39083
